Plot Title: 20448196,,,
#,"Date Time, GMT -0400","Temp, °F","Intensity,  lum/ft²"
1,2019-06-30 1:00:00,51.30,0
2,2019-06-30 1:15:00,51.38,0
3,2019-06-30 1:30:00,51.38,0
4,2019-06-30 1:45:00,51.45,0
5,2019-06-30 2:00:00,51.45,0
6,2019-06-30 2:15:00,51.69,0
7,2019-06-30 2:30:00,51.84,0
8,2019-06-30 2:45:00,51.92,0
9,2019-06-30 3:00:00,51.76,0
10,2019-06-30 3:15:00,51.76,0
11,2019-06-30 3:30:00,51.76,0
12,2019-06-30 3:45:00,51.84,0
13,2019-06-30 4:00:00,51.84,0
14,2019-06-30 4:15:00,51.84,0
15,2019-06-30 4:30:00,51.84,0
16,2019-06-30 4:45:00,51.84,0
17,2019-06-30 5:00:00,51.84,1
18,2019-06-30 5:15:00,51.76,2
19,2019-06-30 5:30:00,51.61,6
20,2019-06-30 5:45:00,51.61,8
21,2019-06-30 6:00:00,51.69,4
22,2019-06-30 6:15:00,51.69,6
23,2019-06-30 6:30:00,51.61,12
24,2019-06-30 6:45:00,51.53,19
25,2019-06-30 7:00:00,51.53,34
26,2019-06-30 7:15:00,51.53,51
27,2019-06-30 7:30:00,51.45,28
28,2019-06-30 7:45:00,51.30,34
29,2019-06-30 8:00:00,51.22,45
30,2019-06-30 8:15:00,50.91,72
31,2019-06-30 8:30:00,50.76,68
32,2019-06-30 8:45:00,50.99,55
33,2019-06-30 9:00:00,51.22,44
34,2019-06-30 9:15:00,51.22,65
35,2019-06-30 9:30:00,51.15,73
36,2019-06-30 9:45:00,51.15,44
37,2019-06-30 10:00:00,51.15,50
38,2019-06-30 10:15:00,51.15,77
39,2019-06-30 10:30:00,51.15,120
40,2019-06-30 10:45:00,51.15,187
41,2019-06-30 11:00:00,51.15,90
42,2019-06-30 11:15:00,50.68,220
43,2019-06-30 11:30:00,50.30,80
44,2019-06-30 11:45:00,50.30,26
45,2019-06-30 12:00:00,50.99,28
46,2019-06-30 12:15:00,51.30,45
47,2019-06-30 12:30:00,51.45,109
48,2019-06-30 12:45:00,51.61,126
49,2019-06-30 13:00:00,51.61,421
50,2019-06-30 13:15:00,51.61,267
51,2019-06-30 13:30:00,51.61,69
52,2019-06-30 13:45:00,51.53,48
53,2019-06-30 14:00:00,51.45,44
54,2019-06-30 14:15:00,51.45,34
55,2019-06-30 14:30:00,51.38,61
56,2019-06-30 14:45:00,51.53,121
57,2019-06-30 15:00:00,51.53,118
58,2019-06-30 15:15:00,51.45,90
59,2019-06-30 15:30:00,51.53,118
60,2019-06-30 15:45:00,51.69,127
61,2019-06-30 16:00:00,51.76,120
62,2019-06-30 16:15:00,51.76,86
63,2019-06-30 16:30:00,51.69,100
64,2019-06-30 16:45:00,51.76,81
65,2019-06-30 17:00:00,51.84,87
66,2019-06-30 17:15:00,51.84,65
67,2019-06-30 17:30:00,51.84,45
68,2019-06-30 17:45:00,51.76,31
69,2019-06-30 18:00:00,51.69,13
70,2019-06-30 18:15:00,51.69,10
71,2019-06-30 18:30:00,51.69,14
72,2019-06-30 18:45:00,51.53,13
73,2019-06-30 19:00:00,51.45,16
74,2019-06-30 19:15:00,51.30,11
75,2019-06-30 19:30:00,51.38,8
76,2019-06-30 19:45:00,51.30,6
77,2019-06-30 20:00:00,51.38,3
78,2019-06-30 20:15:00,51.22,1
79,2019-06-30 20:30:00,51.22,0
80,2019-06-30 20:45:00,51.22,0
81,2019-06-30 21:00:00,51.07,0
82,2019-06-30 21:15:00,50.84,0
83,2019-06-30 21:30:00,50.91,0
84,2019-06-30 21:45:00,50.99,0
85,2019-06-30 22:00:00,51.07,0
86,2019-06-30 22:15:00,51.15,0
87,2019-06-30 22:30:00,50.99,0
88,2019-06-30 22:45:00,51.38,0
89,2019-06-30 23:00:00,51.45,0
90,2019-06-30 23:15:00,51.84,0
91,2019-06-30 23:30:00,51.69,0
92,2019-06-30 23:45:00,51.45,0
93,2019-07-01 0:00:00,51.22,0
94,2019-07-01 0:15:00,51.38,0
95,2019-07-01 0:30:00,51.22,0
96,2019-07-01 0:45:00,51.45,0
97,2019-07-01 1:00:00,51.38,0
98,2019-07-01 1:15:00,51.38,0
99,2019-07-01 1:30:00,51.38,0
100,2019-07-01 1:45:00,51.22,0
101,2019-07-01 2:00:00,51.15,0
102,2019-07-01 2:15:00,51.15,0
103,2019-07-01 2:30:00,51.30,0
104,2019-07-01 2:45:00,51.38,0
105,2019-07-01 3:00:00,51.30,0
106,2019-07-01 3:15:00,51.45,0
107,2019-07-01 3:30:00,51.45,0
108,2019-07-01 3:45:00,51.45,0
109,2019-07-01 4:00:00,51.53,0
110,2019-07-01 4:15:00,51.45,0
111,2019-07-01 4:30:00,51.45,0
112,2019-07-01 4:45:00,51.38,1
113,2019-07-01 5:00:00,51.30,3
114,2019-07-01 5:15:00,51.38,7
115,2019-07-01 5:30:00,51.30,14
116,2019-07-01 5:45:00,51.45,21
117,2019-07-01 6:00:00,51.38,33
118,2019-07-01 6:15:00,51.45,44
119,2019-07-01 6:30:00,51.38,53
120,2019-07-01 6:45:00,51.38,57
121,2019-07-01 7:00:00,51.38,67
122,2019-07-01 7:15:00,51.38,81
123,2019-07-01 7:30:00,51.38,87
124,2019-07-01 7:45:00,51.45,93
125,2019-07-01 8:00:00,51.38,102
126,2019-07-01 8:15:00,51.38,124
127,2019-07-01 8:30:00,51.15,126
128,2019-07-01 8:45:00,51.15,148
129,2019-07-01 9:00:00,51.07,167
130,2019-07-01 9:15:00,50.68,184
131,2019-07-01 9:30:00,50.37,204
132,2019-07-01 9:45:00,50.37,200
133,2019-07-01 10:00:00,50.61,216
134,2019-07-01 10:15:00,50.76,229
135,2019-07-01 10:30:00,50.84,241
136,2019-07-01 10:45:00,50.76,257
137,2019-07-01 11:00:00,50.76,278
138,2019-07-01 11:15:00,50.76,292
139,2019-07-01 11:30:00,50.68,297
140,2019-07-01 11:45:00,50.76,315
141,2019-07-01 12:00:00,50.61,334
142,2019-07-01 12:15:00,50.30,328
143,2019-07-01 12:30:00,50.37,347
144,2019-07-01 12:45:00,51.15,367
145,2019-07-01 13:00:00,51.84,351
146,2019-07-01 13:15:00,51.69,341
147,2019-07-01 13:30:00,51.76,349
148,2019-07-01 13:45:00,51.69,325
149,2019-07-01 14:00:00,51.69,323
150,2019-07-01 14:15:00,51.76,334
151,2019-07-01 14:30:00,51.76,322
152,2019-07-01 14:45:00,51.76,285
153,2019-07-01 15:00:00,51.76,279
154,2019-07-01 15:15:00,51.76,246
155,2019-07-01 15:30:00,51.76,234
156,2019-07-01 15:45:00,51.76,155
157,2019-07-01 16:00:00,51.76,201
158,2019-07-01 16:15:00,51.84,180
159,2019-07-01 16:30:00,51.61,67
160,2019-07-01 16:45:00,51.61,58
161,2019-07-01 17:00:00,51.53,129
162,2019-07-01 17:15:00,51.61,46
163,2019-07-01 17:30:00,51.84,90
164,2019-07-01 17:45:00,51.84,38
165,2019-07-01 18:00:00,51.92,69
166,2019-07-01 18:15:00,52.07,36
167,2019-07-01 18:30:00,52.07,41
168,2019-07-01 18:45:00,52.00,30
169,2019-07-01 19:00:00,51.92,23
170,2019-07-01 19:15:00,51.84,16
171,2019-07-01 19:30:00,51.45,11
172,2019-07-01 19:45:00,51.38,5
173,2019-07-01 20:00:00,51.45,3
174,2019-07-01 20:15:00,51.30,1
175,2019-07-01 20:30:00,51.38,0
176,2019-07-01 20:45:00,51.38,0
177,2019-07-01 21:00:00,50.99,0
178,2019-07-01 21:15:00,50.61,0
179,2019-07-01 21:30:00,50.68,0
180,2019-07-01 21:45:00,50.84,0
181,2019-07-01 22:00:00,50.99,0
182,2019-07-01 22:15:00,51.15,0
183,2019-07-01 22:30:00,51.22,0
184,2019-07-01 22:45:00,51.22,0
185,2019-07-01 23:00:00,51.38,0
186,2019-07-01 23:15:00,51.38,0
187,2019-07-01 23:30:00,51.53,0
188,2019-07-01 23:45:00,51.45,0
189,2019-07-02 0:00:00,51.61,0
190,2019-07-02 0:15:00,51.84,0
191,2019-07-02 0:30:00,51.07,0
192,2019-07-02 0:45:00,50.84,0
193,2019-07-02 1:00:00,50.84,0
194,2019-07-02 1:15:00,50.84,0
195,2019-07-02 1:30:00,50.99,0
196,2019-07-02 1:45:00,50.99,0
197,2019-07-02 2:00:00,50.91,0
198,2019-07-02 2:15:00,50.99,0
199,2019-07-02 2:30:00,51.38,0
200,2019-07-02 2:45:00,51.38,0
201,2019-07-02 3:00:00,51.45,0
202,2019-07-02 3:15:00,51.45,0
203,2019-07-02 3:30:00,51.45,0
204,2019-07-02 3:45:00,51.45,0
205,2019-07-02 4:00:00,51.45,0
206,2019-07-02 4:15:00,51.45,0
207,2019-07-02 4:30:00,51.45,0
208,2019-07-02 4:45:00,51.45,0
209,2019-07-02 5:00:00,51.45,2
210,2019-07-02 5:15:00,51.45,4
211,2019-07-02 5:30:00,51.38,4
212,2019-07-02 5:45:00,51.30,5
213,2019-07-02 6:00:00,51.30,10
214,2019-07-02 6:15:00,51.38,12
215,2019-07-02 6:30:00,51.38,24
216,2019-07-02 6:45:00,51.38,33
217,2019-07-02 7:00:00,51.45,54
218,2019-07-02 7:15:00,51.38,45
219,2019-07-02 7:30:00,51.45,47
220,2019-07-02 7:45:00,51.45,91
221,2019-07-02 8:00:00,51.45,110
222,2019-07-02 8:15:00,51.53,176
223,2019-07-02 8:30:00,51.45,188
224,2019-07-02 8:45:00,51.53,194
225,2019-07-02 9:00:00,51.45,210
226,2019-07-02 9:15:00,51.45,221
227,2019-07-02 9:30:00,51.53,229
228,2019-07-02 9:45:00,51.61,248
229,2019-07-02 10:00:00,51.22,244
230,2019-07-02 10:15:00,50.76,253
231,2019-07-02 10:30:00,50.76,258
232,2019-07-02 10:45:00,50.84,263
233,2019-07-02 11:00:00,50.84,272
234,2019-07-02 11:15:00,50.91,281
235,2019-07-02 11:30:00,51.07,285
236,2019-07-02 11:45:00,51.15,308
237,2019-07-02 12:00:00,51.30,321
238,2019-07-02 12:15:00,51.45,317
239,2019-07-02 12:30:00,51.38,316
240,2019-07-02 12:45:00,51.53,307
241,2019-07-02 13:00:00,51.61,286
242,2019-07-02 13:15:00,51.61,296
243,2019-07-02 13:30:00,51.84,293
244,2019-07-02 13:45:00,51.76,90
245,2019-07-02 14:00:00,51.84,57
246,2019-07-02 14:15:00,51.76,17
247,2019-07-02 14:30:00,51.84,12
248,2019-07-02 14:45:00,51.45,49
249,2019-07-02 15:00:00,51.92,78
250,2019-07-02 15:15:00,52.15,27
251,2019-07-02 15:30:00,52.00,113
252,2019-07-02 15:45:00,52.15,50
253,2019-07-02 16:00:00,52.15,182
254,2019-07-02 16:15:00,52.00,73
255,2019-07-02 16:30:00,52.00,41
256,2019-07-02 16:45:00,51.92,197
257,2019-07-02 17:00:00,51.92,57
258,2019-07-02 17:15:00,51.92,129
259,2019-07-02 17:30:00,52.00,120
260,2019-07-02 17:45:00,52.00,121
261,2019-07-02 18:00:00,51.92,71
262,2019-07-02 18:15:00,52.00,56
263,2019-07-02 18:30:00,52.00,48
264,2019-07-02 18:45:00,51.92,37
265,2019-07-02 19:00:00,51.92,22
266,2019-07-02 19:15:00,52.00,20
267,2019-07-02 19:30:00,51.92,13
268,2019-07-02 19:45:00,51.76,9
269,2019-07-02 20:00:00,51.76,4
270,2019-07-02 20:15:00,51.76,2
271,2019-07-02 20:30:00,51.84,0
272,2019-07-02 20:45:00,51.92,0
