Plot Title: 20448192,,,
#,"Date Time, GMT -0400","Temp, °F","Intensity,  lum/ft²"
1,2019-06-30 1:00:00,51.61,0
2,2019-06-30 1:15:00,51.69,0
3,2019-06-30 1:30:00,52.23,0
4,2019-06-30 1:45:00,52.23,0
5,2019-06-30 2:00:00,52.15,0
6,2019-06-30 2:15:00,52.15,0
7,2019-06-30 2:30:00,52.07,0
8,2019-06-30 2:45:00,52.15,0
9,2019-06-30 3:00:00,52.15,0
10,2019-06-30 3:15:00,52.07,0
11,2019-06-30 3:30:00,52.15,0
12,2019-06-30 3:45:00,52.00,0
13,2019-06-30 4:00:00,52.00,0
14,2019-06-30 4:15:00,52.07,0
15,2019-06-30 4:30:00,52.00,0
16,2019-06-30 4:45:00,52.07,0
17,2019-06-30 5:00:00,52.00,1
18,2019-06-30 5:15:00,51.76,3
19,2019-06-30 5:30:00,51.84,6
20,2019-06-30 5:45:00,51.84,9
21,2019-06-30 6:00:00,51.76,6
22,2019-06-30 6:15:00,51.76,9
23,2019-06-30 6:30:00,51.76,18
24,2019-06-30 6:45:00,51.76,26
25,2019-06-30 7:00:00,51.76,48
26,2019-06-30 7:15:00,51.84,60
27,2019-06-30 7:30:00,51.69,58
28,2019-06-30 7:45:00,51.69,51
29,2019-06-30 8:00:00,51.69,72
30,2019-06-30 8:15:00,51.69,136
31,2019-06-30 8:30:00,51.84,125
32,2019-06-30 8:45:00,51.76,96
33,2019-06-30 9:00:00,51.76,68
34,2019-06-30 9:15:00,51.69,121
35,2019-06-30 9:30:00,51.69,138
36,2019-06-30 9:45:00,51.69,116
37,2019-06-30 10:00:00,51.61,112
38,2019-06-30 10:15:00,51.69,161
39,2019-06-30 10:30:00,51.61,275
40,2019-06-30 10:45:00,51.76,263
41,2019-06-30 11:00:00,51.61,137
42,2019-06-30 11:15:00,51.69,466
43,2019-06-30 11:30:00,51.53,146
44,2019-06-30 11:45:00,51.45,49
45,2019-06-30 12:00:00,52.07,56
46,2019-06-30 12:15:00,52.07,91
47,2019-06-30 12:30:00,52.15,218
48,2019-06-30 12:45:00,51.92,207
49,2019-06-30 13:00:00,51.92,312
50,2019-06-30 13:15:00,51.92,307
51,2019-06-30 13:30:00,51.76,62
52,2019-06-30 13:45:00,51.76,61
53,2019-06-30 14:00:00,51.76,40
54,2019-06-30 14:15:00,51.69,34
55,2019-06-30 14:30:00,51.84,53
56,2019-06-30 14:45:00,51.84,128
57,2019-06-30 15:00:00,51.92,139
58,2019-06-30 15:15:00,52.00,96
59,2019-06-30 15:30:00,52.07,120
60,2019-06-30 15:45:00,52.15,134
61,2019-06-30 16:00:00,52.00,117
62,2019-06-30 16:15:00,52.15,82
63,2019-06-30 16:30:00,52.23,121
64,2019-06-30 16:45:00,52.23,101
65,2019-06-30 17:00:00,52.00,132
66,2019-06-30 17:15:00,52.15,72
67,2019-06-30 17:30:00,52.07,51
68,2019-06-30 17:45:00,52.00,43
69,2019-06-30 18:00:00,51.84,19
70,2019-06-30 18:15:00,51.92,15
71,2019-06-30 18:30:00,51.84,26
72,2019-06-30 18:45:00,51.61,26
73,2019-06-30 19:00:00,51.76,37
74,2019-06-30 19:15:00,52.00,26
75,2019-06-30 19:30:00,52.07,14
76,2019-06-30 19:45:00,51.69,16
77,2019-06-30 20:00:00,51.61,6
78,2019-06-30 20:15:00,51.76,3
79,2019-06-30 20:30:00,52.00,1
80,2019-06-30 20:45:00,51.76,0
81,2019-06-30 21:00:00,51.69,0
82,2019-06-30 21:15:00,51.92,0
83,2019-06-30 21:30:00,51.76,0
84,2019-06-30 21:45:00,51.69,0
85,2019-06-30 22:00:00,51.76,0
86,2019-06-30 22:15:00,51.53,0
87,2019-06-30 22:30:00,52.00,0
88,2019-06-30 22:45:00,52.23,0
89,2019-06-30 23:00:00,52.00,0
90,2019-06-30 23:15:00,51.69,0
91,2019-06-30 23:30:00,51.53,0
92,2019-06-30 23:45:00,51.53,0
93,2019-07-01 0:00:00,52.07,0
94,2019-07-01 0:15:00,51.92,0
95,2019-07-01 0:30:00,51.69,0
96,2019-07-01 0:45:00,51.61,0
97,2019-07-01 1:00:00,51.45,0
98,2019-07-01 1:15:00,51.61,0
99,2019-07-01 1:30:00,51.53,0
100,2019-07-01 1:45:00,51.45,0
101,2019-07-01 2:00:00,51.38,0
102,2019-07-01 2:15:00,51.30,0
103,2019-07-01 2:30:00,51.30,0
104,2019-07-01 2:45:00,51.53,0
105,2019-07-01 3:00:00,51.45,0
106,2019-07-01 3:15:00,51.45,0
107,2019-07-01 3:30:00,51.61,0
108,2019-07-01 3:45:00,51.45,0
109,2019-07-01 4:00:00,51.53,0
110,2019-07-01 4:15:00,51.61,0
111,2019-07-01 4:30:00,51.53,0
112,2019-07-01 4:45:00,51.53,1
113,2019-07-01 5:00:00,51.53,3
114,2019-07-01 5:15:00,51.61,12
115,2019-07-01 5:30:00,51.53,4
116,2019-07-01 5:45:00,51.53,26
117,2019-07-01 6:00:00,51.53,36
118,2019-07-01 6:15:00,51.53,5
119,2019-07-01 6:30:00,51.61,99
120,2019-07-01 6:45:00,51.61,92
121,2019-07-01 7:00:00,51.61,119
122,2019-07-01 7:15:00,51.69,85
123,2019-07-01 7:30:00,51.61,90
124,2019-07-01 7:45:00,51.53,118
125,2019-07-01 8:00:00,51.69,317
126,2019-07-01 8:15:00,51.53,343
127,2019-07-01 8:30:00,51.84,288
128,2019-07-01 8:45:00,51.69,271
129,2019-07-01 9:00:00,51.61,116
130,2019-07-01 9:15:00,51.53,170
131,2019-07-01 9:30:00,51.76,201
132,2019-07-01 9:45:00,51.69,202
133,2019-07-01 10:00:00,51.69,268
134,2019-07-01 10:15:00,51.69,245
135,2019-07-01 10:30:00,51.76,233
136,2019-07-01 10:45:00,51.84,661
137,2019-07-01 11:00:00,52.00,450
138,2019-07-01 11:15:00,52.15,410
139,2019-07-01 11:30:00,51.38,660
140,2019-07-01 11:45:00,51.15,343
141,2019-07-01 12:00:00,50.91,292
142,2019-07-01 12:15:00,50.84,365
143,2019-07-01 12:30:00,52.38,660
144,2019-07-01 12:45:00,52.30,343
145,2019-07-01 13:00:00,52.00,400
146,2019-07-01 13:15:00,51.92,371
147,2019-07-01 13:30:00,52.07,200
148,2019-07-01 13:45:00,52.15,91
149,2019-07-01 14:00:00,52.07,98
150,2019-07-01 14:15:00,52.00,88
151,2019-07-01 14:30:00,52.00,233
152,2019-07-01 14:45:00,52.07,348
153,2019-07-01 15:00:00,52.07,643
154,2019-07-01 15:15:00,52.46,379
155,2019-07-01 15:30:00,52.54,395
156,2019-07-01 15:45:00,52.23,292
