Date,Surface.H2O.temperature,Gear.Type,Level/Position.#,Sex,Shell.Height.,Total.Viscera.Weight.,Meat.Weight.,Gonad.Weight.,Shell.Weight.,GSI
7/10/2019,13,Cage,MR,F,85,37.59,10.61,2.75,33.8,7.315775472
7/10/2019,13,Cage,MR,M,85,43.43,13.55,3.56,41.62,8.19709878
7/10/2019,13,Cage,TL,M,80,25.47,8.23,1.82,37.34,7.145661563
7/10/2019,13,Cage,TL,F,77,28.1,9.92,0.93,32.53,3.309608541
7/10/2019,13,Cage,BL,M,82,38.02,10.92,4.17,39.05,10.96791163
7/10/2019,13,Cage,BR,F,89,45.21,14.57,7.11,44.59,15.72660916
7/10/2019,13,Cage,ML,M,87,34.78,11.01,1.99,45.76,5.721679126
7/10/2019,13,Cage,ML,F,86,41.92,13.6,3.04,40.6,7.251908397
7/10/2019,13,Cage,TR,M,85,45.9,14.02,6.11,43.03,13.31154684
7/10/2019,13,Cage,TR,F,88,49.52,15.82,3.47,46.4,7.00726979
7/10/2019,13,Net,1,M,77,31.82,10.33,3.6,33.75,11.31363922
7/10/2019,13,Net,2,M,90,48.35,16.64,8.03,56.6,16.60806618
7/10/2019,13,Net,3,F,75,37.42,10.72,5.63,37.24,15.04543025
7/10/2019,13,Net,4,F,89,56.74,19.37,5.26,50.24,9.27035601
7/10/2019,13,Net,5,M,70,26.13,7.44,4.42,33.52,16.91542289
7/10/2019,13,Net,6,M,87,29.46,9.57,0.9,37.5,3.054989817
7/10/2019,13,Net,7,F,79,35.27,12.41,6.04,41.06,17.12503544
7/10/2019,13,Net,8,F,102,65.43,20.56,6.34,68.7,9.689744765
7/10/2019,13,Net,9,M,75,28.69,9.11,3.39,34.08,11.81596375
7/10/2019,13,Net,10,F,91,54,19.02,4.95,51.98,9.166666667
7/16/2019,13.5,Net,1,F,75,36.03,12.92,5.17,39.24,14.34915348
7/16/2019,13.5,Net,2,F,88.5,50.65,16.25,4.58,43.52,9.042448174
7/16/2019,13.5,Net,3,M,81,46.91,13.15,9.8,44.11,20.891068
7/16/2019,13.5,Net,4,M,100,66.82,21.7,7.29,62.87,10.90990721
7/16/2019,13.5,Net,5,F,80.5,41.32,11.83,6.75,38.63,16.33591481
7/16/2019,13.5,Net,6,F,89.5,55.34,17.46,4.6,49.11,8.312251536
7/16/2019,13.5,Net,7,M,76,43.27,13.4,8.72,35.1,20.15253062
7/16/2019,13.5,Net,8,M,87,53.66,16.55,7.15,42.64,13.3246366
7/16/2019,13.5,Net,9,F,82,55.47,18.87,5.66,42.07,10.20371372
7/16/2019,13.5,Net,10,M,91,42.07,12.43,3.54,41.88,8.414547183
7/16/2019,13.5,Cage,TR,M,90.5,52.55,16.73,4.51,45.3,8.582302569
7/16/2019,13.5,Cage,TR,F,85,46.58,16.48,6.46,43.61,13.86861314
7/16/2019,13.5,Cage,TL,M,83,44.68,16.02,6.22,53.04,13.92121755
7/16/2019,13.5,Cage,TL,F,65,17.06,4.88,1.37,21.96,8.030480657
7/16/2019,13.5,Cage,MR,M,75,31.38,9.21,6.68,41.7,21.28744423
7/16/2019,13.5,Cage,MR,F,80,33.75,11.68,2.64,44.53,7.822222222
7/16/2019,13.5,Cage,ML,M,94,53.23,15.82,4.46,54.35,8.378733797
7/16/2019,13.5,Cage,ML,F,94,56.44,20.77,4.88,51.47,8.646350106
7/16/2019,13.5,Cage,BR,F,90,52.81,16.16,7.79,64.58,14.75099413
7/16/2019,13.5,Cage,BL,M,83,33.03,10.79,3.3,44.15,9.990917348
7/24/2019,15,Net,1,M,76,47.2,12.47,9.99,52.33,21.16525424
