"Date","Surface.H2O.temperature","Gear.Type","Level/Position.#","Sex","Shell.Height.","Total.Viscera.Weight.","Meat.Weight.","Gonad.Weight.","Shell.Weight.","GSI"
2019-07-10,13,"Cage","MR","F",85,37.59,10.61,2.75,33.8,7.31577547220005
2019-07-10,13,"Cage","MR","M",85,43.43,13.55,3.56,41.62,8.19709877964541
2019-07-10,13,"Cage","TL","M",80,25.47,8.23,1.82,37.34,7.14566156262269
2019-07-10,13,"Cage","TL","F",77,28.1,9.92,0.93,32.53,3.30960854092527
2019-07-10,13,"Cage","BL","M",82,38.02,10.92,4.17,39.05,10.9679116254603
2019-07-10,13,"Cage","BR","F",89,45.21,14.57,7.11,44.59,15.7266091572661
2019-07-10,13,"Cage","ML","M",87,34.78,11.01,1.99,45.76,5.72167912593445
2019-07-10,13,"Cage","ML","F",86,41.92,13.6,3.04,40.6,7.25190839694656
2019-07-10,13,"Cage","TR","M",85,45.9,14.02,6.11,43.03,13.3115468409586
2019-07-10,13,"Cage","TR","F",88,49.52,15.82,3.47,46.4,7.00726978998384
2019-07-10,13,"Lantern Net","1","M",77,31.82,10.33,3.6,33.75,11.313639220616
2019-07-10,13,"Lantern Net","2","M",90,48.35,16.64,8.03,56.6,16.6080661840745
2019-07-10,13,"Lantern Net","3","F",75,37.42,10.72,5.63,37.24,15.0454302512026
2019-07-10,13,"Lantern Net","4","F",89,56.74,19.37,5.26,50.24,9.27035600986958
2019-07-10,13,"Lantern Net","5","M",70,26.13,7.44,4.42,33.52,16.9154228855721
2019-07-10,13,"Lantern Net","6","M",87,29.46,9.57,0.9,37.5,3.05498981670061
2019-07-10,13,"Lantern Net","7","F",79,35.27,12.41,6.04,41.06,17.1250354408846
2019-07-10,13,"Lantern Net","8","F",102,65.43,20.56,6.34,68.7,9.68974476539813
2019-07-10,13,"Lantern Net","9","M",75,28.69,9.11,3.39,34.08,11.8159637504357
2019-07-10,13,"Lantern Net","10","F",91,54,19.02,4.95,51.98,9.16666666666667
2019-07-16,13.5,"Lantern Net","1","F",75,36.03,12.92,5.17,39.24,14.3491534832084
2019-07-16,13.5,"Lantern Net","2","F",88.5,50.65,16.25,4.58,43.52,9.04244817374136
2019-07-16,13.5,"Lantern Net","3","M",81,46.91,13.15,9.8,44.11,20.8910680025581
2019-07-16,13.5,"Lantern Net","4","M",100,66.82,21.7,7.29,62.87,10.9099072134092
2019-07-16,13.5,"Lantern Net","5","F",80.5,41.32,11.83,6.75,38.63,16.3359148112294
2019-07-16,13.5,"Lantern Net","6","F",89.5,55.34,17.46,4.6,49.11,8.31225153595952
2019-07-16,13.5,"Lantern Net","7","M",76,43.27,13.4,8.72,35.1,20.1525306216778
2019-07-16,13.5,"Lantern Net","8","M",87,53.66,16.55,7.15,42.64,13.32463660082
2019-07-16,13.5,"Lantern Net","9","F",82,55.47,18.87,5.66,42.07,10.2037137191275
2019-07-16,13.5,"Lantern Net","10","M",91,42.07,12.43,3.54,41.88,8.41454718326599
2019-07-16,13.5,"Cage","TR","M",90.5,52.55,16.73,4.51,45.3,8.58230256898192
2019-07-16,13.5,"Cage","TR","F",85,46.58,16.48,6.46,43.61,13.8686131386861
2019-07-16,13.5,"Cage","TL","M",83,44.68,16.02,6.22,53.04,13.9212175470009
2019-07-16,13.5,"Cage","TL","F",65,17.06,4.88,1.37,21.96,8.03048065650645
2019-07-16,13.5,"Cage","MR","M",75,31.38,9.21,6.68,41.7,21.2874442319949
2019-07-16,13.5,"Cage","MR","F",80,33.75,11.68,2.64,44.53,7.82222222222222
2019-07-16,13.5,"Cage","ML","M",94,53.23,15.82,4.46,54.35,8.37873379673117
2019-07-16,13.5,"Cage","ML","F",94,56.44,20.77,4.88,51.47,8.64635010630758
2019-07-16,13.5,"Cage","BR","F",90,52.81,16.16,7.79,64.58,14.7509941298996
2019-07-16,13.5,"Cage","BL","M",83,33.03,10.79,3.3,44.15,9.99091734786558
2019-07-24,15,"Lantern Net","1","M",76,47.2,12.47,9.99,52.33,21.1652542372881
2019-07-24,15,"Lantern Net","2","M",87,57.42,17.19,8.78,52.8,15.2908394287705
2019-07-24,15,"Lantern Net","3","F",65.5,34.56,9.64,7.05,38.49,20.3993055555556
2019-07-24,15,"Lantern Net","4","F",88,61.76,19.52,8.39,50.91,13.5848445595855
2019-07-24,15,"Lantern Net","5","M",68,28.7,10.12,2.16,32.81,7.52613240418119
2019-07-24,15,"Lantern Net","6","M",91,67.53,22.67,9.84,49.15,14.5713016437139
2019-07-24,15,"Lantern Net","7","F",73,38.53,12.48,4.56,37.09,11.8349338178043
2019-07-24,15,"Lantern Net","8","F",96,71.59,21.5,13.29,59.09,18.5640452577176
2019-07-24,15,"Lantern Net","9","M",80,39.97,10.45,8.41,34.11,21.0407805854391
2019-07-24,15,"Lantern Net","10","M",96,50.48,21.16,3.17,54.86,6.2797147385103
2019-07-24,15,"Cage","TL","F",84,47.23,16.26,3.65,39.86,7.72813889477027
2019-07-24,15,"Cage","TL","M",83,49.82,14.78,8.94,47.92,17.9446005620233
2019-07-24,15,"Cage","TR","F",89,50.76,17.08,7.58,73.95,14.9330181245075
2019-07-24,15,"Cage","TR","M",86,50.37,15.03,9.24,47.18,18.3442525312686
2019-07-24,15,"Cage","ML","M",91,52.39,15.64,8.86,45.43,16.9116243557931
2019-07-24,15,"Cage","ML","F",88,50.79,18.91,3.84,43.68,7.56054341405789
2019-07-24,15,"Cage","MR","M",83,37.41,11.84,2.66,32.43,7.11039828922748
2019-07-24,15,"Cage","MR","F",72,35.15,12.08,3.97,35.78,11.2944523470839
2019-07-24,15,"Cage","BR","M",90,56.5,17.6,10.1,44.62,17.8761061946903
2019-07-24,15,"Cage","BL","F",84,49.23,19.07,2.68,44.05,5.44383505992281
2019-08-02,14,"Lantern Net","1","F",67,23.89,9.3,1.88,30.58,7.86940142318962
2019-08-02,14,"Lantern Net","2","F",94,57.04,18.29,5.69,45.46,9.97545582047686
2019-08-02,14,"Lantern Net","3","M",77,34.22,10.2,6.07,39.5,17.7381648158971
2019-08-02,14,"Lantern Net","4","M",89,55.33,15.65,6.82,46.14,12.3260437375746
2019-08-02,14,"Lantern Net","5","F",82,46.43,17.12,4.07,56.34,8.76588412664226
2019-08-02,14,"Lantern Net","6","F",91,61.04,18.42,6.3,49.02,10.3211009174312
2019-08-02,14,"Lantern Net","7","M",82,42.67,12.91,4.69,44.1,10.9913288024373
2019-08-02,14,"Lantern Net","8","M",87,66.97,19.77,12.5,63.7,18.6650739136927
2019-08-02,14,"Lantern Net","9","F",72,26.42,8.72,4.08,29.99,15.442846328539
2019-08-02,14,"Lantern Net","10","M",86.5,56.12,16.15,7.83,43.25,13.952245188881
2019-08-02,14,"Cage","TR","M",90,55.71,17.51,11.74,55.22,21.0734159037875
2019-08-02,14,"Cage","TR","F",84,45.22,18.74,4.35,39.08,9.61963732861566
2019-08-02,14,"Cage","TL","M",84.5,42.36,13.15,8.14,39.24,19.2162417374882
2019-08-02,14,"Cage","TL","F",75,29.06,10.12,2.59,40.12,8.91259463179628
2019-08-02,14,"Cage","MR","M",76,44.38,13.85,9.11,38.73,20.5272645335737
2019-08-02,14,"Cage","MR","F",71,39.2,12.36,7.31,41.1,18.6479591836735
2019-08-02,14,"Cage","ML","F",89,61.76,16.6,10.16,56.46,16.4507772020725
2019-08-02,14,"Cage","ML","M",90.5,51.06,17.1,8.74,52.01,17.1171171171171
2019-08-02,14,"Cage","BL","M",83,41.76,14.22,8.42,40.68,20.1628352490421
2019-08-02,14,"Cage","BR","F",NA,60.46,21.38,6.14,73.72,10.1554746940126
2019-08-07,14,"Lantern Net","1","F",80,42.56,16.27,2.88,48.09,6.76691729323308
2019-08-07,14,"Lantern Net","2","F",89,58.41,17.59,12.75,48.41,21.8284540318439
2019-08-07,14,"Lantern Net","3","M",70,31.07,10.17,6.81,32.05,21.9182491149018
2019-08-07,14,"Lantern Net","4","M",85.5,45.61,15.92,8.03,46.02,17.6057882043412
2019-08-07,14,"Lantern Net","5","F",67,25.85,9.82,3.28,35.59,12.6885880077369
2019-08-07,14,"Lantern Net","6","F",99.5,70.83,20.97,14,58.51,19.7656360299308
2019-08-07,14,"Lantern Net","7","M",71,48.48,11.83,7.15,31.51,14.7483498349835
2019-08-07,14,"Lantern Net","8","M",87,68.24,18.89,16.39,53.53,24.0181711606096
2019-08-07,14,"Lantern Net","9","F",75,37.74,12.86,3.63,34.84,9.61844197138315
2019-08-07,14,"Lantern Net","10","M",94,49.87,14.73,6.87,63.15,13.7758171245238
2019-08-07,14,"Cage","TR","F",85,41.55,13.81,7.42,46.57,17.8580024067389
2019-08-07,14,"Cage","TR","M",97,67.34,22.36,13.17,60.75,19.5574695574696
2019-08-07,14,"Cage","TL","M",84,46.56,15.87,9.01,44.08,19.3513745704467
2019-08-07,14,"Cage","TL","F",84,58.27,21.08,8.64,43.36,14.8275270293461
2019-08-07,14,"Cage","MR","M",83,48.18,16.52,10.18,42.88,21.129099211291
2019-08-07,14,"Cage","MR","F",72.5,29.2,9.87,6.45,29.53,22.0890410958904
2019-08-07,14,"Cage","ML","F",87,54.98,19.68,10.42,53.31,18.9523463077483
2019-08-07,14,"Cage","ML","M",81,35.92,11.31,7.17,44.67,19.9610244988864
2019-08-07,14,"Cage","BR","F",84,49.46,15.09,8.93,50.96,18.0549939344925
2019-08-07,14,"Cage","BL","M",80,52.46,14.38,15.99,NA,30.4803659931376
2019-08-15,14,"Cage","TL","M",78,26.03,9.05,1.94,27.22,7.45293891663465
2019-08-15,14,"Cage","TL","F",78.5,26.35,9.41,3.14,38.51,11.9165085388994
2019-08-15,14,"Cage","ML","M",91,38.67,11.45,4.57,40.81,11.8179467287303
2019-08-15,14,"Cage","ML","F",90,49.45,15.86,6.27,53.28,12.6794742163802
2019-08-15,14,"Cage","TR","F",95,55.99,18.7,8.61,60.2,15.3777460260761
2019-08-15,14,"Cage","TR","M",89.5,51.67,13.89,8.88,53.47,17.1859880007741
2019-08-15,14,"Cage","BR","F",95.5,61.54,18.56,13.41,86.78,21.7907052323692
2019-08-15,14,"Cage","BL","M",80.5,44,15.81,8.58,46.8,19.5
2019-08-15,14,"Cage","MR","F",79.5,34.38,11.06,4.37,38.26,12.7108784176847
2019-08-15,14,"Cage","MR","M",70,44.37,7.87,3.09,36.86,6.96416497633536
2019-08-15,14,"Lantern Net","10","F",94,73.44,24.37,10.56,68.37,14.3790849673203
2019-08-15,14,"Lantern Net","9","M",86,58.93,18.55,12.27,43.44,20.8213134227049
2019-08-15,14,"Lantern Net","8","F",84.5,47.62,15.19,6.1,51.56,12.8097438051239
2019-08-15,14,"Lantern Net","7","F",80,53.09,15.6,12.62,38.65,23.7709549821059
2019-08-15,14,"Lantern Net","5","M",77,36.06,11.36,7.1,37.9,19.6894065446478
2019-08-15,14,"Lantern Net","6","M",94.5,67.35,27.72,4.53,55.19,6.7260579064588
2019-08-15,14,"Lantern Net","3","F",72.5,28.33,10.09,3.7,36.7,13.0603600423579
2019-08-15,14,"Lantern Net","4","F",85,67.83,17.13,12,52.23,17.6912870411322
2019-08-15,14,"Lantern Net","1","M",75,28.44,10.02,6.04,37.46,21.2376933895921
2019-08-15,14,"Lantern Net","2","M",91,57.91,57.78,13.5,47.16,23.3120359178035
2019-08-22,14,"Cage","TR","M",88,56.36,17.27,12.47,63.62,22.125621007807
2019-08-22,14,"Cage","TR","F",90,54.14,20.2,7.89,47.49,14.5733284078315
2019-08-22,14,"Cage","TL","F",85,45.52,16.24,7.37,54.03,16.1906854130053
2019-08-22,14,"Cage","TL","M",79,37.31,13.55,6.15,68.57,16.4835164835165
2019-08-22,14,"Cage","ML","M",88,45.72,12.19,12.72,48.43,27.8215223097113
2019-08-22,14,"Cage","ML","F",89,55.38,22.2,5.96,54.44,10.7620079451065
2019-08-22,14,"Cage","MR","F",71,28.53,12.22,4.09,40.47,14.3357868909919
2019-08-22,14,"Cage","MR","M",81,34.03,11.97,5.57,46.15,16.3679106670585
2019-08-22,14,"Cage","BR","M",97,56.99,19.4,11.38,62.46,19.9684155114932
2019-08-22,14,"Cage","BL","F",75,25.79,10.34,2.97,36.2,11.5160915083366
2019-08-22,14,"Lantern Net","1","M",71,37.84,12.2,5.64,43.21,14.9048625792812
2019-08-22,14,"Lantern Net","2","M",97,72.21,21.77,9.44,54.84,13.0729815814984
2019-08-22,14,"Lantern Net","3","F",87,68.86,20.3,16.28,50.46,23.6421725239617
2019-08-22,14,"Lantern Net","4","F",98.5,66.08,22.19,4.12,62.37,6.23486682808717
2019-08-22,14,"Lantern Net","5","M",83,45.77,12.11,12.17,45.96,26.5894690845532
2019-08-22,14,"Lantern Net","6","M",95,68.05,19.01,11.35,57.29,16.678912564291
2019-08-22,14,"Lantern Net","7","F",76,34.38,11.08,4.72,43.08,13.7289121582315
2019-08-22,14,"Lantern Net","8","F",93,55.4,20.2,4.92,61.5,8.88086642599278
2019-08-22,14,"Lantern Net","9","M",78.5,45.45,13.88,5.47,33.61,12.035203520352
2019-08-22,14,"Lantern Net","10","M",91,60.59,17.6,8.13,54.51,13.418055784783
2019-08-27,NA,"Cage","BR","F",91,49.14,16.87,2.78,43.43,5.65730565730566
2019-08-27,NA,"Cage","BL","F",85,43.64,11.74,9.96,41.84,22.8230980751604
2019-08-27,NA,"Cage","ML","M",91,36.62,12.12,2.37,38.55,6.47187329328236
2019-08-27,NA,"Cage","ML","F",88,57.71,15.94,12.94,59.87,22.422457113152
2019-08-27,NA,"Cage","MR","F",75,26.61,7.94,3.89,37.95,14.6185644494551
2019-08-27,NA,"Cage","MR","M",79,37.71,17.15,5.31,43.86,14.0811455847255
2019-08-27,NA,"Cage","TL","F",78,38.61,12.3,6.35,38.89,16.4465164465164
2019-08-27,NA,"Cage","TL","M",84,43.37,10.54,8.83,42.36,20.359695642149
2019-08-27,NA,"Cage","TR","F",91.5,52.72,16.73,5.89,42.12,11.1722306525038
2019-08-27,NA,"Cage","TR","M",86.5,42.11,10.93,5.7,51.08,13.5359772025647
2019-08-29,15,"Lantern Net","1","M",71,34.78,1037,8.85,40.24,25.4456584243818
2019-08-29,15,"Lantern Net","2","M",92,82.09,22.81,21.1,51.07,25.7034961627482
